Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z
ATOM,61,HM2,DGlcNAc,2,-4.134,5.896,-0.378
ATOM,62,HM3,DGlcNAc,2,-4.566,4.471,-1.397
ATOM,63,HM4,DGlcNAc,2,-4.260,6.087,-2.167
ATOM,64,C5,BGAL,3,3.248,7.853,-4.743
ATOM,65,H5,BGAL,3,4.084,7.370,-4.201
ATOM,66,O5,BGAL,3,2.202,6.871,-4.957
ATOM,67,C1,BGAL,3,2.554,5.706,-5.756
ATOM,68,H1,BGAL,3,3.362,5.151,-5.249
ATOM,71,C2,BGAL,3,3.031,6.155,-7.158
ATOM,72,H2,BGAL,3,2.173,6.601,-7.701
ATOM,73,O2,BGAL,3,3.490,5.040,-7.885
ATOM,75,C3,BGAL,3,4.153,7.215,-7.052
ATOM,76,H3,BGAL,3,5.058,6.725,-6.642
ATOM,77,O3,BGAL,3,4.458,7.714,-8.330
ATOM,78,HO3,BGAL,3,5.187,8.353,-8.219
ATOM,79,C4,BGAL,3,3.772,8.386,-6.111
ATOM,80,H4,BGAL,3,4.653,9.043,-5.968
ATOM,81,O4,BGAL,3,2.748,9.137,-6.722
ATOM,82,HO4,BGAL,3,3.092,9.447,-7.579
ATOM,83,C6,BGAL,3,2.669,8.963,-3.820
ATOM,84,H61,BGAL,3,2.217,8.501,-2.936
ATOM,85,O6,BGAL,3,3.675,9.859,-3.400
ATOM,86,HO6,BGAL,3,3.250,10.504,-2.832
ATOM,87,H62,BGAL,3,1.875,9.509,-4.336
ATOM,88,C1,AFL,4,2.724,4.837,-9.071
ATOM,89,C2,AFL,4,3.317,3.788,-10.029
ATOM,90,C3,AFL,4,3.172,2.376,-9.443
ATOM,91,C4,AFL,4,1.702,2.131,-9.061
ATOM,92,C5,AFL,4,1.216,3.251,-8.128
ATOM,93,C6,AFL,4,-0.258,3.119,-7.725
ATOM,94,O5,AFL,4,1.365,4.538,-8.739
ATOM,96,O2,AFL,4,4.662,4.165,-10.316
ATOM,97,O3,AFL,4,3.680,1.425,-10.373
ATOM,98,O4,AFL,4,0.853,2.107,-10.208
ATOM,99,H5,AFL,4,1.812,3.207,-7.197
ATOM,100,H1,AFL,4,2.695,5.815,-9.568
ATOM,102,H2,AFL,4,2.734,3.828,-10.970
ATOM,103,HO2,AFL,4,4.963,3.580,-11.023
ATOM,104,H3,AFL,4,3.786,2.326,-8.524
ATOM,105,HO3,AFL,4,3.753,0.588,-9.895
ATOM,106,H4,AFL,4,1.605,1.163,-8.534
ATOM,107,HO4,AFL,4,1.115,1.333,-10.725
ATOM,108,H6,AFL,4,-0.472,2.144,-7.259
ATOM,109,H22,AFL,4,-0.524,3.909,-7.005
ATOM,110,H23,AFL,4,-0.915,3.232,-8.602
